date,HS2,Export,text,rank,eall,share
1991,88,1.0826,"88 - Aircraft, spacecraft, and parts thereof",1,6.2305,17.4
1991,84,1.0574,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",2,6.2305,17
1991,31,0.9774,31 - Fertilizers,3,6.2305,15.7
1991,10,0.3634,10 - Cereals,4,6.2305,5.8
1991,52,0.3261,52 - Cotton,5,6.2305,5.2
1991,90,0.3164,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",6,6.2305,5.1
1991,39,0.2963,39 - Plastics and articles thereof,7,6.2305,4.8
1991,85,0.2772,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8,6.2305,4.4
1991,29,0.2737,29 - Organic chemicals,9,6.2305,4.4
1991,44,0.1675,44 - Wood and articles of wood; wood charcoal,10,6.2305,2.7
1991,Other,1.0925,Other,,6.2305,17.5
1992,84,1.1761,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",2,7.403,15.9
1992,31,0.6291,31 - Fertilizers,3,7.403,8.5
1992,85,0.4641,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",4,7.403,6.3
1992,88,2.0558,"88 - Aircraft, spacecraft, and parts thereof",1,7.403,27.8
1992,10,0.273,10 - Cereals,6,7.403,3.7
1992,87,0.2727,"87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7,7.403,3.7
1992,39,0.2226,39 - Plastics and articles thereof,8,7.403,3
1992,90,0.4351,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",5,7.403,5.9
1992,52,0.2002,52 - Cotton,10,7.403,2.7
1992,29,0.2126,29 - Organic chemicals,9,7.403,2.9
1992,Other,1.4617,Other,,7.403,19.7
1993,88,2.2292,"88 - Aircraft, spacecraft, and parts thereof",1,8.6848,25.7
1993,84,1.8186,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",2,8.6848,20.9
1993,90,0.4688,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",5,8.6848,5.4
1993,31,0.2927,31 - Fertilizers,6,8.6848,3.4
1993,10,0.2742,10 - Cereals,7,8.6848,3.2
