date,rank,iHS2,Import,itext,iname,iall,ishare,eHS2,Export,etext,ename,eall,eshare
1991,1,95,2.8229,"95 - Toys, games and sports requisites; parts and accessories thereof",Toys and Games,20.1029,14,88,1.0826,"88 - Aircraft, spacecraft, and parts thereof",Aircraft and Parts,6.2305,17.4
1991,2,85,2.6827,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",Electrical Machinery,20.1029,13.3,84,1.0574,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",Mechanical Appliances,6.2305,17
1991,3,64,2.6806,64 - Footwear; gaiters and the like; parts of such articles,Footwear,20.1029,13.3,31,0.9774,31 - Fertilizers,Fertilizers,6.2305,15.7
1991,4,62,2.4542,62 - Apparel and clothing accessories; not knitted or crocheted,Non Knitted Apparel,20.1029,12.2,10,0.3634,10 - Cereals,Cereals,6.2305,5.8
1991,5,42,1.2508,"42 - Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (0 than silk-worm gut)",Leather Articles,20.1029,6.2,52,0.3261,52 - Cotton,Cotton,6.2305,5.2
1991,6,61,1.2132,61 - Apparel and clothing accessories; knitted or crocheted,Knitted Apparel,20.1029,6,90,0.3164,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",Optical Accessories,6.2305,5.1
1991,7,84,0.6985,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",Mechanical Appliances,20.1029,3.5,39,0.2963,39 - Plastics and articles thereof,Plastics Articles,6.2305,4.8
1991,8,27,0.6425,"27 - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Mineral Fuels,20.1029,3.2,85,0.2772,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",Electrical Machinery,6.2305,4.4
1991,9,39,0.5407,39 - Plastics and articles thereof,Plastics Articles,20.1029,2.7,29,0.2737,29 - Organic chemicals,Organic Chemicals,6.2305,4.4
1991,10,94,0.4865,"94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",Furniture,20.1029,2.4,44,0.1675,44 - Wood and articles of wood; wood charcoal,Wood and Articles,6.2305,2.7
