date,HS2,Import,text,rank,iall,share
1991,95,2.8229,"95 - Toys, games and sports requisites; parts and accessories thereof",1,20.1029,14
1991,85,2.6827,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,20.1029,13.3
1991,64,2.6806,64 - Footwear; gaiters and the like; parts of such articles,3,20.1029,13.3
1991,62,2.4542,62 - Apparel and clothing accessories; not knitted or crocheted,4,20.1029,12.2
1991,42,1.2508,"42 - Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",5,20.1029,6.2
1991,61,1.2132,61 - Apparel and clothing accessories; knitted or crocheted,6,20.1029,6
1991,84,0.6985,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",7,20.1029,3.5
1991,27,0.6425,"27 - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",8,20.1029,3.2
1991,39,0.5407,39 - Plastics and articles thereof,9,20.1029,2.7
1991,94,0.4865,"94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",10,20.1029,2.4
1991,Other,4.6303,Other,,20.1029,23
1992,64,3.6008,64 - Footwear; gaiters and the like; parts of such articles,2,27.0689,13.3
1992,85,3.5638,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",3,27.0689,13.2
1992,62,3.2605,62 - Apparel and clothing accessories; not knitted or crocheted,4,27.0689,12
1992,95,3.9904,"95 - Toys, games and sports requisites; parts and accessories thereof",1,27.0689,14.7
1992,61,1.4837,61 - Apparel and clothing accessories; knitted or crocheted,6,27.0689,5.5
1992,84,1.109,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",7,27.0689,4.1
1992,39,0.8545,39 - Plastics and articles thereof,8,27.0689,3.2
1992,42,1.6624,"42 - Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",5,27.0689,6.1
1992,27,0.5703,"27 - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",10,27.0689,2.1
